iter	RMSE
0	3818.736624
1	3659.560479
2	3509.1783
3	3366.492382
4	3231.515261
5	3104.082032
6	2984.822948
7	2873.435609
8	2767.417895
9	2668.088132
10	2574.618271
11	2486.775024
12	2405.654051
13	2319.126081
14	2235.211798
15	2156.164849
16	2081.13114
17	2010.253065
18	1943.824649
19	1882.211241
20	1814.066065
21	1751.62888
22	1693.865388
23	1638.874068
24	1585.911474
25	1537.297502
26	1489.960968
27	1446.43716
28	1405.755906
29	1368.254785
30	1329.888724
31	1295.168379
32	1262.761201
33	1233.479276
34	1204.048056
35	1177.61984
36	1153.015144
37	1128.583914
38	1102.657237
39	1078.502182
40	1055.666043
41	1034.568005
42	1014.836898
43	996.0764203
44	977.8117549
45	960.1878386
46	944.3613547
47	928.6255058
48	912.727393
49	896.8704767
50	882.0524524
51	868.5383147
52	856.544205
53	846.1430821
54	835.7542614
55	825.1365824
56	815.5701429
57	805.9255575
58	796.5052436
59	788.6574644
60	781.1669321
61	772.2844955
62	765.5356598
63	759.306138
64	753.0177632
65	745.3450908
66	739.054318
67	733.6006044
68	728.2877583
69	723.3718095
70	718.5551386
71	714.1640375
72	710.2602365
73	706.610366
74	703.5331419
75	698.5469415
76	695.11524
77	691.2125026
78	687.5227793
79	684.245353
80	681.0150492
81	677.4001288
82	675.0068978
83	672.2123376
84	669.736064
85	666.8240339
86	664.6355675
87	663.0296064
88	660.1203533
89	657.7273579
90	655.5102924
91	654.0267822
92	651.9249444
93	650.3443481
94	648.2105174
95	645.0142941
96	643.7368296
97	642.504617
98	640.1348092
99	637.6928539
100	636.0693406
101	634.1881687
102	631.7805298
103	630.4659861
104	629.0714098
105	627.1753757
106	626.1103582
107	624.8611437
108	623.8544689
109	621.9713675
110	621.1391957
111	620.0709997
112	618.7650991
113	617.9103615
114	617.0516277
115	615.8602304
116	614.1307332
117	613.0296996
118	611.7117772
119	610.9337603
120	609.6318909
121	608.6003434
122	607.839776
123	606.5069632
124	605.3159786
125	604.4668676
126	603.3250429
127	602.158262
128	601.4031393
129	600.6078477
130	600.0150242
131	599.1546935
132	598.5378364
133	597.8451581
134	597.2082036
135	596.4368155
136	595.0300516
137	594.3493363
138	593.9433543
139	592.3978311
140	591.2525447
141	590.6692764
142	589.8651271
143	589.2985291
144	588.7747598
145	588.0708392
146	587.3462321
147	586.6643171
148	586.1876911
149	585.2396788
150	584.0366893
151	582.9943183
152	582.2514225
153	581.1279554
154	580.3243749
155	579.6624305
156	579.3396297
157	578.7264583
158	578.4265285
159	577.983194
160	576.8267102
161	576.1134652
162	575.5048637
163	574.8529366
164	574.2084509
165	573.810728
166	573.3324603
167	572.5454451
168	572.1873341
169	571.5140797
170	571.1773444
171	570.256743
172	569.8820229
173	569.2290634
174	568.7601006
175	568.5693679
176	567.9576238
177	567.3422697
178	567.109908
179	566.5438186
180	566.1954385
181	565.9083129
182	565.4296416
183	564.9827364
184	564.4802296
185	564.2441135
186	564.0873121
187	563.5560117
188	563.2415108
189	562.8712788
190	562.353744
191	562.0112849
192	561.4890272
193	561.1122162
194	560.8234968
195	560.3415412
196	559.9681308
197	559.7682356
198	559.4950975
199	559.0312914
200	558.784372
201	558.4976835
202	558.1987115
203	558.0173076
204	557.8695222
205	557.5924059
206	557.2882758
207	556.8361875
208	556.3961011
209	555.9157881
210	555.6946556
211	555.4893138
212	555.262228
213	554.8787417
214	554.5761928
215	554.3721073
216	554.0634935
217	553.7612994
218	553.5676769
219	553.0260622
220	553.020883
221	552.698213
222	552.2529669
223	552.1495867
224	551.7870846
225	551.7056677
226	551.43381
227	551.2335878
228	551.2041727
229	551.0976912
230	550.9230181
231	550.6563426
232	550.3478774
233	550.2217977
234	549.9522811
235	549.8414569
236	549.6475576
237	549.4700908
238	549.2755417
239	548.9017397
240	548.5519923
241	548.4127927
242	548.265527
243	548.0834969
244	547.9303175
245	547.7635597
246	547.6983019
247	547.5615453
248	547.4633955
249	546.9673556
250	546.4095951
251	546.2724904
252	546.0573621
253	545.8274141
254	545.6724986
255	545.5796063
256	545.311763
257	545.2395539
258	545.2241158
259	545.0908604
260	545.0624308
261	544.8936144
262	544.7318308
263	544.7233618
264	544.7151976
265	544.5054524
266	544.3151345
267	543.9976991
268	543.7906507
269	543.4987388
270	543.2917574
271	543.2693495
272	543.0865829
273	542.9437925
274	542.7531484
275	542.5761726
276	542.2620927
277	541.9431533
278	541.9394878
279	541.5765393
280	541.3993931
281	541.2882619
282	541.2224342
283	541.0299744
284	540.9358372
285	540.8603151
286	540.5685565
287	540.2346405
288	540.0011014
289	539.8555328
290	539.7895476
291	539.526333
292	539.3982814
293	539.0063993
294	538.8881381
295	538.7728226
296	538.3861924
297	538.3008647
298	538.1026923
299	537.9279814
300	537.8608821
301	537.7048699
302	537.4820803
303	537.409537
304	537.1917374
305	537.1342354
306	536.9593808
307	536.7700962
308	536.6414587
309	536.5464267
310	536.4302752
311	536.3135622
312	536.3109385
313	536.1720716
314	536.0000145
315	535.8549633
316	535.50423
317	535.2215991
318	535.1526395
319	535.0842612
320	534.9468257
321	534.8989124
322	534.8446001
323	534.6721925
324	534.6644323
325	534.3849788
326	534.3287674
327	534.2405846
328	534.0068165
329	533.8261092
330	533.73894
331	533.5714037
332	533.5642523
333	533.2617206
334	532.9970784
335	532.862365
336	532.6396485
337	532.4509571
338	532.3257164
339	532.3095542
340	532.063964
341	531.9117552
342	531.8273225
343	531.6799689
344	531.4778314
345	531.3507547
346	531.1983637
347	531.0689373
348	530.9783159
349	530.6583113
350	530.6071363
351	530.5499692
352	530.5195532
353	530.3128578
354	530.1597249
355	530.0083885
356	529.7983648
357	529.7697102
358	529.5481815
359	529.2153263
360	529.1355986
361	529.1310695
362	528.8159804
363	528.7125003
364	528.6841488
365	528.3797321
366	528.3539542
367	528.2442879
368	528.2116947
369	528.0195799
370	527.8929799
371	527.6509849
372	527.4831002
373	527.406319
374	527.2616368
375	527.1475235
376	526.9005967
377	526.7181868
378	526.7151266
379	526.5571808
380	526.4777035
381	526.3242195
382	526.0555553
383	525.9389317
384	525.76005
385	525.5666279
386	525.4340473
387	525.3343101
388	525.1693743
389	525.0810458
390	524.9894974
391	524.9229451
392	524.8237245
393	524.6616228
394	524.5116784
395	524.3523046
396	524.1519899
397	523.9410561
398	523.7242946
399	523.563644
400	523.387921
401	523.3107393
402	523.1852965
403	523.0127604
404	522.8339541
405	522.6222943
406	522.5492844
407	522.3732945
408	522.2827748
409	522.1755032
410	521.9030621
411	521.7987472
412	521.5475426
413	521.4493786
414	521.2603118
415	521.0673388
416	520.924199
417	520.7842988
418	520.7076811
419	520.6665854
420	520.6197793
421	520.434741
422	520.2918578
423	520.218428
424	520.2158666
425	520.2035166
426	520.072289
427	519.9541309
428	519.9167965
429	519.7090762
430	519.6142391
431	519.4792992
432	519.4355415
433	519.3750828
434	519.147692
435	519.0212064
436	518.8775615
437	518.7150583
438	518.5148034
439	518.3887533
440	518.3117123
441	518.2331625
442	517.9694827
443	517.8778094
444	517.8755139
445	517.8733097
446	517.6875926
447	517.5750275
448	517.5058837
449	517.4134642
450	517.2975958
451	517.1110923
452	517.0556787
453	516.9096616
454	516.6266255
455	516.5736913
456	516.5108066
457	516.393851
458	516.2676456
459	516.079366
460	515.9086879
461	515.8755016
462	515.8091586
463	515.6832172
464	515.5154549
465	515.4223245
466	515.2333081
467	515.1574893
468	515.080962
469	514.9904216
470	514.9069367
471	514.7921977
472	514.6145295
473	514.5215255
474	514.4645203
475	514.3898674
476	514.3236953
477	514.2297835
478	514.0063002
479	513.9126111
480	513.8196019
481	513.7183838
482	513.5810639
483	513.5225214
484	513.4057867
485	513.2992261
486	513.2190126
487	513.1004393
488	512.9346716
489	512.8811428
490	512.7930086
491	512.7461525
492	512.5617066
493	512.3957145
494	512.191773
495	511.9849481
496	511.8432022
497	511.7933425
498	511.5942572
499	511.4608221
500	511.3820333
501	511.1730253
502	511.0941757
503	511.0353551
504	510.9947489
505	510.9580022
506	510.7705061
507	510.6162066
508	510.5357357
509	510.4860975
510	510.44006
511	510.3148759
512	510.2316965
513	510.1778675
514	509.9963815
515	509.8170178
516	509.7758391
517	509.7467771
518	509.7328869
519	509.6637467
520	509.5115891
521	509.3321055
522	509.2715742
523	509.1808869
524	509.1349806
525	509.0731596
526	508.9999211
527	508.9410976
528	508.9040661
529	508.7793725
530	508.7039912
531	508.5472066
532	508.3277502
533	508.0750804
534	508.0359069
535	507.9800351
536	507.8460886
537	507.6754303
538	507.558947
539	507.4748245
540	507.4735265
541	507.4389753
542	507.3972762
543	507.2636846
544	507.2149895
545	507.2040686
546	507.134029
547	506.9584932
548	506.914432
549	506.8339728
550	506.6247035
551	506.6107708
552	506.6043011
553	506.5061042
554	506.3428169
555	506.2624691
556	506.2025885
557	506.0880655
558	506.0534361
559	506.0520744
560	505.9187893
561	505.9169082
562	505.8923112
563	505.7972759
564	505.7514678
565	505.730029
566	505.6957783
567	505.6092408
568	505.5500823
569	505.4988947
570	505.4240067
571	505.3126002
572	505.2311584
573	505.1704404
574	505.1358454
575	505.0993547
576	504.9903076
577	504.9789258
578	504.8288365
579	504.7425888
580	504.6998468
581	504.5891378
582	504.5423595
583	504.3556789
584	504.2702983
585	504.1503474
586	504.1204339
587	504.0463174
588	504.0288965
589	503.9140036
590	503.8391255
591	503.737285
592	503.6458961
593	503.611109
594	503.5781135
595	503.4278441
596	503.3275898
597	503.2997433
598	503.2153386
599	503.1475286
600	503.0568997
601	502.9786127
602	502.913319
603	502.8155881
604	502.7842552
605	502.6943979
606	502.541846
607	502.4563417
608	502.374826
609	502.3021926
610	502.1628801
611	502.1505616
612	502.0747698
613	502.003844
614	501.9790424
615	501.9742287
616	501.9225795
617	501.9045591
618	501.8441822
619	501.8273109
620	501.8056562
621	501.661977
622	501.4769269
623	501.4711478
624	501.4478506
625	501.3763501
626	501.1893405
627	501.1102076
628	501.0931046
629	501.0057838
630	500.9768472
631	500.8527028
632	500.8031541
633	500.716329
634	500.6246595
635	500.6041658
636	500.53066
637	500.4095363
638	500.2728539
639	500.124266
640	499.9878871
641	499.9459558
642	499.8441667
643	499.81503
644	499.7801275
645	499.7426363
646	499.7390366
647	499.7357898
648	499.6783321
649	499.6560466
650	499.5384383
651	499.4171361
652	499.3310111
653	499.3278546
654	499.2995564
655	499.2077858
656	499.036386
657	498.7828608
658	498.5532654
659	498.5135425
660	498.324012
661	498.2366003
662	498.1772198
663	498.0296373
664	497.950527
665	497.8434145
666	497.7650412
667	497.7621726
668	497.6438168
669	497.6356532
670	497.5602423
671	497.4446363
672	497.3822373
673	497.234176
674	497.1299294
675	497.0455936
676	496.9258114
677	496.8219752
678	496.7397499
679	496.6522001
680	496.5800577
681	496.5407266
682	496.4382892
683	496.3824191
684	496.3130625
685	496.2979273
686	496.2216379
687	496.171314
688	496.1081433
689	496.0580113
690	495.977696
691	495.972291
692	495.9691026
693	495.8807308
694	495.7230185
695	495.6535795
696	495.5592275
697	495.4520098
698	495.3902992
699	495.3633856
700	495.2890413
701	495.1949849
702	495.0238721
703	494.9715606
704	494.9203935
705	494.8628471
706	494.7075819
707	494.6512588
708	494.6258505
709	494.5358198
710	494.4763327
711	494.3386072
712	494.2303499
713	494.0967623
714	493.948413
715	493.8490128
716	493.689429
717	493.6339334
718	493.504182
719	493.3306938
720	493.2672582
721	493.2181728
722	493.1674134
723	493.0878357
724	493.0499114
725	492.9182769
726	492.8216143
727	492.6754376
728	492.6649668
729	492.5520331
730	492.5055935
731	492.4709878
732	492.3938698
733	492.3504341
734	492.3394969
735	492.2886606
736	492.2251923
737	492.0889852
738	492.0195717
739	491.8442779
740	491.6800979
741	491.6209885
742	491.5113638
743	491.4915033
744	491.3869155
745	491.3025046
746	491.2799796
747	491.2446913
748	491.2041323
749	491.1669422
750	491.1662819
751	491.0875778
752	491.0415011
753	490.9647513
754	490.8305101
755	490.7293755
756	490.7137993
757	490.632725
758	490.5755169
759	490.5331788
760	490.4106678
761	490.3946405
762	490.3392376
763	490.301059
764	490.297172
765	490.2431017
766	490.2335181
767	490.1438955
768	490.1316372
769	490.0456602
770	489.9251717
771	489.8959512
772	489.85417
773	489.7826592
774	489.6804412
775	489.679803
776	489.6616307
777	489.6287547
778	489.6085719
779	489.4622136
780	489.3560075
781	489.1954456
782	489.0873033
783	489.0202494
784	488.936564
785	488.8820042
786	488.8327243
787	488.7627681
788	488.7117273
789	488.6078918
790	488.4983021
791	488.3330382
792	488.1812473
793	488.0780429
794	488.038893
795	488.0384326
796	487.9461853
797	487.8453401
798	487.7888579
799	487.7166226
800	487.6014426
801	487.601004
802	487.4906181
803	487.4632325
804	487.3976595
805	487.379463
806	487.1444455
807	487.0491647
808	486.9408855
809	486.9020118
810	486.8156289
811	486.7646597
812	486.6191939
813	486.5620737
814	486.5598789
815	486.5368998
816	486.4794749
817	486.4327723
818	486.2922758
819	486.1932988
820	486.0399221
821	485.988238
822	485.8609146
823	485.789661
824	485.7132993
825	485.5689548
826	485.5106092
827	485.5013173
828	485.3886082
829	485.3880475
830	485.3876771
831	485.3624051
832	485.3620346
833	485.3087985
834	485.2395473
835	485.174321
836	485.0960617
837	485.0891997
838	485.0851519
839	485.0755474
840	485.0629834
841	484.9912837
842	484.9227733
843	484.8650738
844	484.8555726
845	484.8229396
846	484.7047174
847	484.6854083
848	484.636595
849	484.5812764
850	484.5133648
851	484.4618864
852	484.4045796
853	484.3041813
854	484.2152188
855	484.1500281
856	484.0881157
857	483.9958726
858	483.9485332
859	483.8870714
860	483.834692
861	483.7485667
862	483.6454187
863	483.588534
864	483.5190268
865	483.4474979
866	483.3939049
867	483.3854584
868	483.3795882
869	483.3294398
870	483.1628048
871	483.0088464
872	482.9554019
873	482.9278652
874	482.8723791
875	482.8505011
876	482.7299115
877	482.6906594
878	482.5152426
879	482.4156707
880	482.3619446
881	482.3357336
882	482.1892029
883	482.0814631
884	482.0237403
885	481.9619458
886	481.9058034
887	481.8437168
888	481.8369107
889	481.785694
890	481.7393123
891	481.6937006
892	481.6365387
