iter	Passed	Remaining
0	190	190740
1	247	123582
2	292	97073
3	336	83779
4	379	75508
5	424	70295
6	468	66508
7	512	63511
8	556	61245
9	597	59194
10	655	58904
11	727	59860
12	775	58905
13	821	57874
14	862	56614
15	902	55511
16	943	54555
17	988	53952
18	1030	53180
19	1071	52494
20	1113	51904
21	1155	51366
22	1194	50754
23	1234	50198
24	1275	49729
25	1315	49287
26	1355	48849
27	1394	48412
28	1434	48042
29	1476	47740
30	1516	47407
31	1556	47081
32	1597	46808
33	1637	46514
34	1677	46243
35	1720	46072
36	1761	45833
37	1801	45606
38	1842	45407
39	1881	45161
40	1921	44938
41	1960	44728
42	2002	44561
43	2041	44356
44	2080	44158
45	2120	43975
46	2159	43788
47	2199	43616
48	2239	43454
49	2278	43291
50	2317	43131
51	2357	42980
52	2396	42817
53	2434	42654
54	2473	42505
55	2512	42351
56	2552	42230
57	2590	42078
58	2629	41944
59	2670	41834
60	2715	41795
61	2754	41672
62	2793	41554
63	2834	41456
64	2874	41353
65	2916	41268
66	2956	41171
67	2995	41060
68	3034	40943
69	3075	40853
70	3115	40769
71	3154	40655
72	3195	40576
73	3234	40472
74	3274	40390
75	3314	40294
76	3355	40222
77	3395	40138
78	3436	40067
79	3475	39970
80	3518	39922
81	3557	39823
82	3597	39744
83	3637	39661
84	3676	39573
85	3715	39491
86	3754	39399
87	3792	39306
88	3831	39222
89	3871	39149
90	3910	39065
91	3952	39013
92	3991	38931
93	4031	38861
94	4070	38777
95	4109	38698
96	4150	38636
97	4189	38564
98	4232	38518
99	4273	38463
100	4316	38421
101	4355	38347
102	4397	38298
103	4438	38236
104	4476	38152
105	4514	38074
106	4556	38031
107	4596	37966
108	4636	37897
109	4675	37832
110	4717	37784
111	4758	37728
112	4798	37667
113	4839	37609
114	4880	37561
115	4923	37523
116	4963	37462
117	5002	37394
118	5042	37328
119	5083	37279
120	5123	37218
121	5162	37152
122	5203	37103
123	5242	37036
124	5282	36975
125	5323	36929
126	5365	36881
127	5406	36831
128	5445	36770
129	5484	36703
130	5527	36664
131	5566	36600
132	5606	36550
133	5647	36498
134	5688	36450
135	5731	36411
136	5772	36365
137	5815	36324
138	5858	36288
139	5902	36259
140	5947	36230
141	5992	36207
142	6038	36189
143	6084	36167
144	6129	36142
145	6171	36097
146	6212	36048
147	6254	36005
148	6299	35981
149	6338	35916
150	6376	35851
151	6415	35794
152	6456	35743
153	6497	35692
154	6537	35637
155	6575	35577
156	6616	35524
157	6656	35472
158	6697	35425
159	6742	35395
160	6780	35333
161	6821	35284
162	6860	35227
163	6901	35178
164	6938	35114
165	6978	35061
166	7019	35013
167	7058	34956
168	7097	34901
169	7137	34846
170	7178	34801
171	7222	34767
172	7266	34734
173	7306	34686
174	7348	34642
175	7390	34600
176	7429	34546
177	7470	34500
178	7510	34446
179	7549	34390
180	7589	34340
181	7630	34296
182	7672	34255
183	7710	34195
184	7750	34144
185	7792	34102
186	7834	34061
187	7875	34014
188	7916	33970
189	7955	33916
190	7994	33860
191	8034	33812
192	8076	33768
193	8115	33715
194	8155	33669
195	8197	33625
196	8236	33571
197	8275	33520
198	8316	33476
199	8357	33429
200	8398	33386
201	8437	33331
202	8478	33288
203	8520	33247
204	8561	33203
205	8604	33165
206	8646	33125
207	8686	33075
208	8725	33024
209	8767	32982
210	8808	32938
211	8848	32889
212	8890	32849
213	8932	32807
214	8973	32762
215	9013	32716
216	9053	32667
217	9093	32620
218	9133	32572
219	9172	32519
220	9187	32383
221	9227	32337
222	9265	32283
223	9305	32236
224	9342	32180
225	9383	32135
226	9423	32089
227	9461	32035
228	9501	31991
229	9542	31947
230	9582	31900
231	9621	31850
232	9659	31796
233	9700	31756
234	9743	31717
235	9783	31673
236	9825	31632
237	9865	31585
238	9903	31534
239	9942	31484
240	9984	31445
241	10023	31394
242	10073	31380
243	10119	31354
244	10159	31308
245	10199	31261
246	10239	31214
247	10275	31157
248	10317	31118
249	10360	31082
250	10402	31042
251	10444	31001
252	10485	30959
253	10524	30910
254	10564	30864
255	10604	30818
256	10647	30783
257	10688	30739
258	10726	30688
259	10769	30652
260	10810	30609
261	10855	30576
262	10902	30552
263	10941	30503
264	10978	30450
265	11018	30405
266	11060	30364
267	11098	30313
268	11140	30273
269	11182	30234
270	11223	30191
271	11260	30139
272	11301	30095
273	11342	30052
274	11380	30004
275	11421	29961
276	11460	29914
277	11501	29870
278	11527	29789
279	11568	29746
280	11608	29702
281	11648	29658
282	11689	29616
283	11728	29570
284	11771	29532
285	11813	29492
286	11852	29446
287	11902	29426
288	11946	29390
289	11986	29346
290	12023	29295
291	12062	29247
292	12100	29198
293	12141	29155
294	12182	29113
295	12221	29067
296	12263	29026
297	12304	28985
298	12342	28936
